-----------------------------------------------------------------------------------------------------------------------
- Bench VeraCrypt
- Started at: 2022-11-08  8:49:35
- CPU: AMD FX(tm)-6300 Six-Core Processor
-----------------------------------------------------------------------------------------------------------------------
SIZE       | HASH       | ENCRYPTION ALGORITHM           | VOL CREATE TIME      | VOL FILL TIME        | SPEED (MB/sec)
50 MB      | Whirlpool  | Kuznyechik-Twofish             |  0m6.487s            |  0m0.177s            | 25
50 MB      | Whirlpool  | Serpent-AES                    |  0m6.384s            |  0m0.176s            | 25
50 MB      | Whirlpool  | Serpent-Twofish-AES            |  0m6.508s            |  0m0.170s            | 25
50 MB      | Whirlpool  | Twofish-Serpent                |  0m6.660s            |  0m0.180s            | 25
50 MB      | Streebog   | AES                            |  0m22.362s           |  0m0.171s            | 25
50 MB      | Streebog   | Camellia                       |  0m22.088s           |  0m0.174s            | 25
50 MB      | Streebog   | Kuznyechik                     |  0m22.613s           |  0m0.177s            | 25
50 MB      | Streebog   | Serpent                        |  0m22.081s           |  0m0.174s            | 25
50 MB      | Streebog   | Twofish                        |  0m22.329s           |  0m0.175s            | 25
50 MB      | Streebog   | AES-Twofish                    |  0m22.100s           |  0m0.172s            | 25
50 MB      | Streebog   | AES-Twofish-Serpent            |  0m22.084s           |  0m0.175s            | 25
50 MB      | Streebog   | Camellia-Kuznyechik            |  0m26.377s           |  0m0.391s            | 25
50 MB      | Streebog   | Camellia-Serpent               |  0m25.917s           |  0m0.196s            | 25
50 MB      | Streebog   | Kuznyechik-AES                 |  0m24.051s           |  0m0.199s            | 25
50 MB      | Streebog   | Kuznyechik-Serpent-Camellia    |  0m24.751s           |  0m0.238s            | 25
50 MB      | Streebog   | Kuznyechik-Twofish             |  0m26.074s           |  0m0.255s            | 25
50 MB      | Streebog   | Serpent-AES                    |  0m26.799s           |  0m0.208s            | 25
50 MB      | Streebog   | Serpent-Twofish-AES            |  0m26.229s           |  0m0.210s            | 25
50 MB      | Streebog   | Twofish-Serpent                |  0m25.497s           |  0m0.189s            | 25
100 MB     | SHA-256    | AES                            |  0m6.607s            |  0m0.623s            | 75
100 MB     | SHA-256    | Camellia                       |  0m7.272s            |  0m0.612s            | 75
100 MB     | SHA-256    | Kuznyechik                     |  0m6.881s            |  0m0.595s            | 75
100 MB     | SHA-256    | Serpent                        |  0m6.521s            |  0m0.583s            | 75
100 MB     | SHA-256    | Twofish                        |  0m6.592s            |  0m0.554s            | 75
100 MB     | SHA-256    | AES-Twofish                    |  0m6.298s            |  0m0.551s            | 75
100 MB     | SHA-256    | AES-Twofish-Serpent            |  0m6.637s            |  0m0.579s            | 75
100 MB     | SHA-256    | Camellia-Kuznyechik            |  0m6.580s            |  0m0.552s            | 75
100 MB     | SHA-256    | Camellia-Serpent               |  0m6.871s            |  0m0.591s            | 75
100 MB     | SHA-256    | Kuznyechik-AES                 |  0m7.065s            |  0m0.637s            | 75
100 MB     | SHA-256    | Kuznyechik-Serpent-Camellia    |  0m7.204s            |  0m0.623s            | 75
100 MB     | SHA-256    | Kuznyechik-Twofish             |  0m7.121s            |  0m0.621s            | 75
100 MB     | SHA-256    | Serpent-AES                    |  0m6.738s            |  0m0.609s            | 75
100 MB     | SHA-256    | Serpent-Twofish-AES            |  0m7.045s            |  0m0.622s            | 75
100 MB     | SHA-256    | Twofish-Serpent                |  0m6.353s            |  0m0.541s            | 75
100 MB     | RIPEMD-160 | AES                            |  0m10.554s           |  0m0.575s            | 75
100 MB     | RIPEMD-160 | Camellia                       |  0m11.593s           |  0m0.558s            | 75
100 MB     | RIPEMD-160 | Kuznyechik                     |  0m10.937s           |  0m0.544s            | 75
100 MB     | RIPEMD-160 | Serpent                        |  0m10.342s           |  0m0.574s            | 75
100 MB     | RIPEMD-160 | Twofish                        |  0m10.529s           |  0m0.548s            | 75
100 MB     | RIPEMD-160 | AES-Twofish                    |  0m10.516s           |  0m0.537s            | 75
100 MB     | RIPEMD-160 | AES-Twofish-Serpent            |  0m11.348s           |  0m0.558s            | 75
