-----------------------------------------------------------------------------------------------------------------------
- Bench VeraCrypt
- Started at: 2022-11-08  8:49:35
- CPU: AMD FX(tm)-6300 Six-Core Processor
-----------------------------------------------------------------------------------------------------------------------
SIZE       | HASH       | ENCRYPTION ALGORITHM           | VOL CREATE TIME      | VOL FILL TIME        | SPEED (MB/sec)
500 MB     | Whirlpool  | Serpent-Twofish-AES            |  0m14.893s           |  0m3.053s            | 158
500 MB     | Whirlpool  | Twofish-Serpent                |  0m14.925s           |  0m3.059s            | 158
500 MB     | Streebog   | AES                            |  0m28.412s           |  0m16.704s           | 27
500 MB     | Streebog   | Camellia                       |  0m29.142s           |  0m27.048s           | 17
500 MB     | Streebog   | Kuznyechik                     |  0m29.789s           |  0m9.672s            | 47
500 MB     | Streebog   | Serpent                        |  0m29.236s           |  0m20.085s           | 23
500 MB     | Streebog   | Twofish                        |  0m28.757s           |  0m7.860s            | 59
500 MB     | Streebog   | AES-Twofish                    |  0m29.273s           |  0m12.777s           | 36
500 MB     | Streebog   | AES-Twofish-Serpent            |  0m29.684s           |  0m9.444s            | 52
500 MB     | Streebog   | Camellia-Kuznyechik            |  0m29.871s           |  0m14.368s           | 33
500 MB     | Streebog   | Camellia-Serpent               |  0m29.886s           |  0m3.053s            | 158
500 MB     | Streebog   | Kuznyechik-AES                 |  0m29.689s           |  0m3.103s            | 158
500 MB     | Streebog   | Kuznyechik-Serpent-Camellia    |  0m31.250s           |  0m4.202s            | 118
500 MB     | Streebog   | Kuznyechik-Twofish             |  0m30.179s           |  0m3.091s            | 158
500 MB     | Streebog   | Serpent-AES                    |  0m29.101s           |  0m7.657s            | 67
500 MB     | Streebog   | Serpent-Twofish-AES            |  0m30.125s           |  0m8.939s            | 52
500 MB     | Streebog   | Twofish-Serpent                |  0m29.514s           |  0m8.522s            | 59
1024 MB    | SHA-256    | AES                            |  0m21.351s           |  1m38.813s           | 9
1024 MB    | SHA-256    | Camellia                       |  0m22.620s           |  1m40.694s           | 9
1024 MB    | SHA-256    | Kuznyechik                     |  0m23.027s           |  1m41.885s           | 9
1024 MB    | SHA-256    | Serpent                        |  0m21.319s           |  1m44.017s           | 9
1024 MB    | SHA-256    | Twofish                        |  0m20.937s           |  1m35.421s           | 10
1024 MB    | SHA-256    | AES-Twofish                    |  0m21.005s           |  1m40.879s           | 9
1024 MB    | SHA-256    | AES-Twofish-Serpent            |  0m22.708s           |  1m42.336s           | 9
1024 MB    | SHA-256    | Camellia-Kuznyechik            |  0m24.160s           |  1m56.642s           | 8
1024 MB    | SHA-256    | Camellia-Serpent               |  0m26.822s           |  2m1.826s            | 7
1024 MB    | SHA-256    | Kuznyechik-AES                 |  0m25.787s           |  1m59.354s           | 8
1024 MB    | SHA-256    | Kuznyechik-Serpent-Camellia    |  0m29.447s           |  1m59.206s           | 8
1024 MB    | SHA-256    | Kuznyechik-Twofish             |  0m27.202s           |  2m6.464s            | 7
1024 MB    | SHA-256    | Serpent-AES                    |  0m27.057s           |  1m49.321s           | 8
1024 MB    | SHA-256    | Serpent-Twofish-AES            |  0m24.146s           |  1m47.575s           | 9
1024 MB    | SHA-256    | Twofish-Serpent                |  0m25.035s           |  1m42.709s           | 9
1024 MB    | RIPEMD-160 | AES                            |  0m23.731s           |  1m38.293s           | 9
1024 MB    | RIPEMD-160 | Camellia                       |  0m26.632s           |  1m43.138s           | 9
1024 MB    | RIPEMD-160 | Kuznyechik                     |  0m27.118s           |  1m50.286s           | 8
1024 MB    | RIPEMD-160 | Serpent                        |  0m25.744s           |  1m38.019s           | 9
1024 MB    | RIPEMD-160 | Twofish                        |  0m25.525s           |  1m39.641s           | 9
1024 MB    | RIPEMD-160 | AES-Twofish                    |  0m28.309s           |  2m4.612s            | 7
1024 MB    | RIPEMD-160 | AES-Twofish-Serpent            |  0m32.460s           |  2m12.221s           | 7
1024 MB    | RIPEMD-160 | Camellia-Kuznyechik            |  0m35.602s           |  2m5.646s            | 7
1024 MB    | RIPEMD-160 | Camellia-Serpent               |  0m34.956s           |  2m6.136s            | 7
1024 MB    | RIPEMD-160 | Kuznyechik-AES                 |  0m31.929s           |  2m2.477s            | 7
1024 MB    | RIPEMD-160 | Kuznyechik-Serpent-Camellia    |  0m31.553s           |  1m47.096s           | 9
1024 MB    | RIPEMD-160 | Kuznyechik-Twofish             |  0m28.696s           |  1m42.194s           | 9
1024 MB    | RIPEMD-160 | Serpent-AES                    |  0m28.187s           |  1m48.784s           | 8
1024 MB    | RIPEMD-160 | Serpent-Twofish-AES            |  0m27.281s           |  1m40.043s           | 9
1024 MB    | RIPEMD-160 | Twofish-Serpent                |  0m27.011s           |  2m15.663s           | 7
1024 MB    | SHA-512    | AES                            |  0m26.210s           |  1m59.515s           | 8
1024 MB    | SHA-512    | Camellia                       |  0m20.722s           |  1m53.714s           | 8
1024 MB    | SHA-512    | Kuznyechik                     |  0m21.301s           |  1m41.606s           | 9
1024 MB    | SHA-512    | Serpent                        |  0m20.573s           |  1m42.889s           | 9
1024 MB    | SHA-512    | Twofish                        |  0m28.599s           |  1m42.605s           | 9
1024 MB    | SHA-512    | AES-Twofish                    |  0m19.579s           |  1m47.181s           | 9
1024 MB    | SHA-512    | AES-Twofish-Serpent            |  0m24.796s           |  2m9.410s            | 7
1024 MB    | SHA-512    | Camellia-Kuznyechik            |  0m26.917s           |  1m52.006s           | 8
1024 MB    | SHA-512    | Camellia-Serpent               |  0m25.734s           |  1m58.308s           | 8
1024 MB    | SHA-512    | Kuznyechik-AES                 |  0m23.829s           |  1m57.318s           | 8
1024 MB    | SHA-512    | Kuznyechik-Serpent-Camellia    |  0m31.111s           |  2m3.466s            | 7
1024 MB    | SHA-512    | Kuznyechik-Twofish             |  0m27.591s           |  2m0.150s            | 8
1024 MB    | SHA-512    | Serpent-AES                    |  0m23.246s           |  1m46.925s           | 9
1024 MB    | SHA-512    | Serpent-Twofish-AES            |  0m25.683s           |  2m0.178s            | 8
1024 MB    | SHA-512    | Twofish-Serpent                |  0m24.165s           |  1m44.977s           | 9
1024 MB    | Whirlpool  | AES                            |  0m20.685s           |  1m35.206s           | 10
1024 MB    | Whirlpool  | Camellia                       |  0m23.829s           |  1m39.872s           | 9
1024 MB    | Whirlpool  | Kuznyechik                     |  0m23.785s           |  1m41.837s           | 9
1024 MB    | Whirlpool  | Serpent                        |  0m22.640s           |  1m36.055s           | 10
1024 MB    | Whirlpool  | Twofish                        |  0m22.184s           |  1m36.666s           | 10
1024 MB    | Whirlpool  | AES-Twofish                    |  0m22.742s           |  2m34.092s           | 6
1024 MB    | Whirlpool  | AES-Twofish-Serpent            |  0m27.992s           |  2m15.883s           | 7
1024 MB    | Whirlpool  | Camellia-Kuznyechik            |  0m33.418s           |  1m57.067s           | 8
1024 MB    | Whirlpool  | Camellia-Serpent               |  0m24.824s           |  2m1.409s            | 8
1024 MB    | Whirlpool  | Kuznyechik-AES                 |  0m34.242s           |  2m31.640s           | 6
1024 MB    | Whirlpool  | Kuznyechik-Serpent-Camellia    |  0m31.178s           |  2m13.609s           | 7
1024 MB    | Whirlpool  | Kuznyechik-Twofish             |  0m31.683s           |  2m1.547s            | 8
1024 MB    | Whirlpool  | Serpent-AES                    |  0m25.632s           |  1m47.586s           | 9
1024 MB    | Whirlpool  | Serpent-Twofish-AES            |  0m24.444s           |  1m41.605s           | 9
1024 MB    | Whirlpool  | Twofish-Serpent                |  0m22.687s           |  1m40.908s           | 9
1024 MB    | Streebog   | AES                            |  0m37.172s           |  1m40.641s           | 9
1024 MB    | Streebog   | Camellia                       |  0m40.963s           |  1m58.325s           | 8
1024 MB    | Streebog   | Kuznyechik                     |  0m45.727s           |  1m57.719s           | 8
1024 MB    | Streebog   | Serpent                        |  0m43.020s           |  2m1.744s            | 7
1024 MB    | Streebog   | Twofish                        |  0m43.652s           |  1m54.642s           | 8
1024 MB    | Streebog   | AES-Twofish                    |  0m43.858s           |  1m59.652s           | 8
1024 MB    | Streebog   | AES-Twofish-Serpent            |  0m43.559s           |  2m24.978s           | 6
1024 MB    | Streebog   | Camellia-Kuznyechik            |  0m40.395s           |  1m48.553s           | 8
1024 MB    | Streebog   | Camellia-Serpent               |  0m47.583s           |  2m3.573s            | 7
1024 MB    | Streebog   | Kuznyechik-AES                 |  0m45.839s           |  2m16.881s           | 7
1024 MB    | Streebog   | Kuznyechik-Serpent-Camellia    |  0m49.630s           |  2m9.187s            | 7
1024 MB    | Streebog   | Kuznyechik-Twofish             |  0m47.363s           |  1m42.572s           | 9
1024 MB    | Streebog   | Serpent-AES                    |  0m38.369s           |  1m43.174s           | 9
1024 MB    | Streebog   | Serpent-Twofish-AES            |  0m41.407s           |  1m54.633s           | 8
1024 MB    | Streebog   | Twofish-Serpent                |  0m47.667s           |  2m17.998s           | 7
-----------------------------------------------------------------------------------------------------------------------
- Completed on 2022-11-08  18:37:02
- Elapsed Time: 9:47:27
-----------------------------------------------------------------------------------------------------------------------
