size,hash+algorithm,total time,speed(mb/s)
100,SHA-512--Kuznyechik-AES,5.732,75
100,SHA-512--Kuznyechik-Serpent-Camellia,5.951,75
100,SHA-512--Kuznyechik-Twofish,6.341,75
100,SHA-512--Serpent-AES,5.578,75
100,SHA-512--Serpent-Twofish-AES,5.529,75
100,SHA-512--Twofish-Serpent,5.444,75
100,Whirlpool--AES,7.563,75
100,Whirlpool--Camellia,8.319,75
100,Whirlpool--Kuznyechik,8.018,75
100,Whirlpool--Serpent,8.094,75
100,Whirlpool--Twofish,7.935,75
100,Whirlpool--AES-Twofish,8.09,75
100,Whirlpool--AES-Twofish-Serpent,8.55,75
100,Whirlpool--Camellia-Kuznyechik,8.294,75
100,Whirlpool--Camellia-Serpent,8.365,75
100,Whirlpool--Kuznyechik-AES,8.284,75
100,Whirlpool--Kuznyechik-Serpent-Camellia,8.719,75
100,Whirlpool--Kuznyechik-Twofish,8.277,75
100,Whirlpool--Serpent-AES,8.371,75
100,Whirlpool--Serpent-Twofish-AES,8.159,75
100,Whirlpool--Twofish-Serpent,8.242,75
100,Streebog--AES,24.329,75
100,Streebog--Camellia,23.466,75
100,Streebog--Kuznyechik,23.636,75
100,Streebog--Serpent,23.53,75
100,Streebog--Twofish,23.489,75
100,Streebog--AES-Twofish,23.591,75
100,Streebog--AES-Twofish-Serpent,25.133,75
100,Streebog--Camellia-Kuznyechik,23.744,75
100,Streebog--Camellia-Serpent,23.693,75
100,Streebog--Kuznyechik-AES,23.596,75
100,Streebog--Kuznyechik-Serpent-Camellia,23.996,75
100,Streebog--Kuznyechik-Twofish,23.985,75
100,Streebog--Serpent-AES,23.425,75
100,Streebog--Serpent-Twofish-AES,24.318,75
100,Streebog--Twofish-Serpent,24.056,75
200,SHA-256--AES,9.342,175
200,SHA-256--Camellia,9.317,175
200,SHA-256--Kuznyechik,10.252,175
200,SHA-256--Serpent,9.421,87
200,SHA-256--Twofish,9.345,175
200,SHA-256--AES-Twofish,8.993,175
200,SHA-256--AES-Twofish-Serpent,10.34,87
200,SHA-256--Camellia-Kuznyechik,10.205,87
200,SHA-256--Camellia-Serpent,9.693,175
200,SHA-256--Kuznyechik-AES,9.625,175
200,SHA-256--Kuznyechik-Serpent-Camellia,10.669,175
200,SHA-256--Kuznyechik-Twofish,21.579,13
200,SHA-256--Serpent-AES,10.969,175
200,SHA-256--Serpent-Twofish-AES,11.182,175
200,SHA-256--Twofish-Serpent,10.001,87
200,RIPEMD-160--AES,24.975,14
200,RIPEMD-160--Camellia,14.449,175
200,RIPEMD-160--Kuznyechik,16.095,175
200,RIPEMD-160--Serpent,16.645,175
200,RIPEMD-160--Twofish,14.613,175
200,RIPEMD-160--AES-Twofish,13.196,175
200,RIPEMD-160--AES-Twofish-Serpent,14.198,87
200,RIPEMD-160--Camellia-Kuznyechik,15.914,87
200,RIPEMD-160--Camellia-Serpent,14.675,175
200,RIPEMD-160--Kuznyechik-AES,15.602,87
200,RIPEMD-160--Kuznyechik-Serpent-Camellia,14.846,175
200,RIPEMD-160--Kuznyechik-Twofish,15.813,175
200,RIPEMD-160--Serpent-AES,14.435,87
200,RIPEMD-160--Serpent-Twofish-AES,15.646,87
200,RIPEMD-160--Twofish-Serpent,15.365,87
200,SHA-512--AES,10.249,87
200,SHA-512--Camellia,8.997,87
200,SHA-512--Kuznyechik,9.04,87
200,SHA-512--Serpent,8.592,87
200,SHA-512--Twofish,8.864,87
200,SHA-512--AES-Twofish,8.631,175
200,SHA-512--AES-Twofish-Serpent,8.449,175
200,SHA-512--Camellia-Kuznyechik,8.423,175
200,SHA-512--Camellia-Serpent,15.224,21
200,SHA-512--Kuznyechik-AES,7.318,175
200,SHA-512--Kuznyechik-Serpent-Camellia,8.023,175
200,SHA-512--Kuznyechik-Twofish,8.292,175
200,SHA-512--Serpent-AES,7.241,175
200,SHA-512--Serpent-Twofish-AES,7.76,175
200,SHA-512--Twofish-Serpent,18.363,15
200,Whirlpool--AES,15.303,29
200,Whirlpool--Camellia,16.742,29
200,Whirlpool--Kuznyechik,11.464,175
200,Whirlpool--Serpent,12.119,87
200,Whirlpool--Twofish,25.945,10
200,Whirlpool--AES-Twofish,10.682,87
200,Whirlpool--AES-Twofish-Serpent,12.707,175
200,Whirlpool--Camellia-Kuznyechik,12.288,87
200,Whirlpool--Camellia-Serpent,11.109,175
200,Whirlpool--Kuznyechik-AES,12.815,87
200,Whirlpool--Kuznyechik-Serpent-Camellia,13.439,175
200,Whirlpool--Kuznyechik-Twofish,21.954,13
200,Whirlpool--Serpent-AES,33.416,7
200,Whirlpool--Serpent-Twofish-AES,26.741,9
200,Whirlpool--Twofish-Serpent,30.529,8
200,Streebog--AES,43.523,10
200,Streebog--Camellia,37.743,15
200,Streebog--Kuznyechik,47.726,8
200,Streebog--Serpent,26.036,87
200,Streebog--Twofish,28.274,87
200,Streebog--AES-Twofish,39.689,13
200,Streebog--AES-Twofish-Serpent,102.146,2
200,Streebog--Camellia-Kuznyechik,50.292,7
200,Streebog--Camellia-Serpent,29.947,175
200,Streebog--Kuznyechik-AES,52.687,7
200,Streebog--Kuznyechik-Serpent-Camellia,35.475,19
200,Streebog--Kuznyechik-Twofish,47.064,9
200,Streebog--Serpent-AES,29.407,87
200,Streebog--Serpent-Twofish-AES,26.22,87
200,Streebog--Twofish-Serpent,26.12,87
500,SHA-256--AES,16.888,118
500,SHA-256--Camellia,16.636,158
500,SHA-256--Kuznyechik,16.786,158
500,SHA-256--Serpent,145.687,3
500,SHA-256--Twofish,197.658,2
500,SHA-256--AES-Twofish,27.69,36
500,SHA-256--AES-Twofish-Serpent,15.986,158
500,SHA-256--Camellia-Kuznyechik,17.383,158
500,SHA-256--Camellia-Serpent,28.751,29
500,SHA-256--Kuznyechik-AES,16.213,158
500,SHA-256--Kuznyechik-Serpent-Camellia,18.67,158
500,SHA-256--Kuznyechik-Twofish,16.758,158
500,SHA-256--Serpent-AES,17.266,158
500,SHA-256--Serpent-Twofish-AES,16.833,158
500,SHA-256--Twofish-Serpent,17.091,158
500,RIPEMD-160--AES,31.102,31
500,RIPEMD-160--Camellia,20.89,158
500,RIPEMD-160--Kuznyechik,20.863,158
500,RIPEMD-160--Serpent,20.387,158
500,RIPEMD-160--Twofish,20.471,158
500,RIPEMD-160--AES-Twofish,20.572,158
500,RIPEMD-160--AES-Twofish-Serpent,33.895,31
500,RIPEMD-160--Camellia-Kuznyechik,21.36,158
500,RIPEMD-160--Camellia-Serpent,21.77,158
500,RIPEMD-160--Kuznyechik-AES,21.133,158
500,RIPEMD-160--Kuznyechik-Serpent-Camellia,26.344,67
500,RIPEMD-160--Kuznyechik-Twofish,21.027,158
500,RIPEMD-160--Serpent-AES,20.508,158
500,RIPEMD-160--Serpent-Twofish-AES,23.114,158
500,RIPEMD-160--Twofish-Serpent,36.36,26
500,SHA-512--AES,14.286,158
500,SHA-512--Camellia,15.342,118
500,SHA-512--Kuznyechik,16.451,158
500,SHA-512--Serpent,22.246,158
500,SHA-512--Twofish,15.862,118
500,SHA-512--AES-Twofish,14.393,158
500,SHA-512--AES-Twofish-Serpent,15.645,158
500,SHA-512--Camellia-Kuznyechik,15.702,158
500,SHA-512--Camellia-Serpent,15.788,158
500,SHA-512--Kuznyechik-AES,16.492,118
500,SHA-512--Kuznyechik-Serpent-Camellia,17.385,118
500,SHA-512--Kuznyechik-Twofish,15.595,158
500,SHA-512--Serpent-AES,14.636,158
500,SHA-512--Serpent-Twofish-AES,17.853,158
500,SHA-512--Twofish-Serpent,16.954,118
500,Whirlpool--AES,30.548,27
500,Whirlpool--Camellia,16.794,158
500,Whirlpool--Kuznyechik,17.886,158
500,Whirlpool--Serpent,17.127,158
500,Whirlpool--Twofish,16.317,158
500,Whirlpool--AES-Twofish,17.18,158
500,Whirlpool--AES-Twofish-Serpent,24.022,52
500,Whirlpool--Camellia-Kuznyechik,18.248,158
500,Whirlpool--Camellia-Serpent,17.697,158
500,Whirlpool--Kuznyechik-AES,18.162,158
500,Whirlpool--Kuznyechik-Serpent-Camellia,19.091,158
500,Whirlpool--Kuznyechik-Twofish,18.7,158
500,Whirlpool--Serpent-AES,16.67,158
500,Whirlpool--Serpent-Twofish-AES,17.946,158
500,Whirlpool--Twofish-Serpent,17.984,158
500,Streebog--AES,45.116,27
500,Streebog--Camellia,56.19,17
500,Streebog--Kuznyechik,39.461,47
500,Streebog--Serpent,49.321,23
500,Streebog--Twofish,36.617,59
500,Streebog--AES-Twofish,42.05,36
500,Streebog--AES-Twofish-Serpent,39.128,52
500,Streebog--Camellia-Kuznyechik,44.239,33
500,Streebog--Camellia-Serpent,32.939,158
500,Streebog--Kuznyechik-AES,32.792,158
500,Streebog--Kuznyechik-Serpent-Camellia,35.452,118
500,Streebog--Kuznyechik-Twofish,33.27,158
500,Streebog--Serpent-AES,36.758,67
500,Streebog--Serpent-Twofish-AES,39.064,52
500,Streebog--Twofish-Serpent,38.036,59
1024,SHA-256--AES,120.164,9
1024,SHA-256--Camellia,123.314,9
1024,SHA-256--Kuznyechik,124.912,9
1024,SHA-256--Serpent,125.336,9
1024,SHA-256--Twofish,116.358,10
1024,SHA-256--AES-Twofish,121.884,9
1024,SHA-256--AES-Twofish-Serpent,125.044,9
1024,SHA-256--Camellia-Kuznyechik,140.802,8
1024,SHA-256--Camellia-Serpent,148.648,7
1024,SHA-256--Kuznyechik-AES,145.141,8
1024,SHA-256--Kuznyechik-Serpent-Camellia,148.653,8
1024,SHA-256--Kuznyechik-Twofish,153.666,7
1024,SHA-256--Serpent-AES,136.378,8
1024,SHA-256--Serpent-Twofish-AES,131.721,9
1024,SHA-256--Twofish-Serpent,127.744,9
